gr,recn,yearStart,yearEnd
TQ07C,2,1986,1986
SP63K,3,1987,2005
SP70R,3,1987,1987
SP80B,3,1987,1987
SP91H,13,1993,2024
SP91M,3,1994,2002
TQ08N,1,1996,1996
SU89W,1,2002,2002
SP80U,1,2002,2002
SP90E,7,2003,2024
SP80I,7,2010,2020
SP81B,1,2012,2012
SU89V,2,2016,2020
TQ08F,1,2018,2018
SU99A,1,2019,2019
SP80Z,1,2020,2020
SP73L,1,2021,2021
SP92D,1,2021,2021
SP62V,1,2021,2021
SU89I,2,2022,2022
SP94D,1,2022,2022
SP84Y,6,2023,2024
SU88C,2,2023,2023
SP83U,1,2023,2023
SP93H,1,2023,2023
SP84K,1,2023,2023
SP81U,1,2024,2024
SU89Z,1,2024,2024